,Nom,Né le
7701,Henri Vacherie,25 juin 1847
7702,"Henri, André, Joseph Tailliandier",23 juin 1847
7703,"Nicolas, Julien, dit Amédée Bargy",22 juin 1847
7704,"Henry, Julien, Stanislas Ternisien",6 juin 1847
7705,"Christophe, Félix, Alphonse Pradon",31 mai 1847
7706,Laurent Chantelauze,24 mai 1847
7707,Maurice Sibille,21 mai 1847
7708,"Ernest, Léon, Zacharie Poictevin de La Rochette",20 mai 1847
7709,François-Charles Perreau-Pradier,13 mai 1847
7710,"Philippe, Michel Labrousse",3 mai 1847
7711,Henri Michelin,3 mai 1847
7712,Gustave Chopinet,26 avril 1847
7713,"François, Albert Sarlande",18 avril 1847
7714,Simon Plissonnier,12 avril 1847
7715,Jules Gaillard,10 avril 1847
7716,Gustave Mesureur,2 avril 1847
7717,"Fernand, Augustin de Ramel",27 mars 1847
7718,Henri Hennard,27 mars 1847
7719,"Jean-Baptiste, Claude Galley",22 mars 1847
7720,Albert Jacquemin,15 mars 1847
7721,Aimery de Goyon,13 mars 1847
7722,"Camille, Salomon Sée",10 mars 1847
7723,Auguste Mulac,10 mars 1847
7724,Antoine Gras,2 mars 1847
7725,Paul Narbonne,1er mars 1847
7726,Edouard Le Roy,21 février 1847
7727,"Léonce, Emile Durand-Savoyat",14 février 1847
7728,Ernest-Alfred Debussy,8 février 1847
7729,Justin Labuze,26 janvier 1847
7730,"Alfred, Marie, Pierre, Victor Bazillon",10 janvier 1847
7731,Victor Prost,7 janvier 1847
7732,Ludovic Dupuy-Dutemps,5 janvier 1847
7733,Pierre Labarthe,23 décembre 1846
7734,Félix Bontoux,13 décembre 1846
7735,"Georges, Augustin César-Lainé",5 décembre 1846
7736,"Pierre, Ernest Waldeck-Rousseau",2 décembre 1846
7737,"Antoine, Pierre, Alfred, François Babaud-Lacroze",29 novembre 1846
7738,"Charles, Louis Fréry",26 novembre 1846
7739,René Le Cerf,21 novembre 1846
7740,Arthur Moret,10 novembre 1846
7741,"Louis, Alphonse, Victor de Broglie",31 octobre 1846
7742,Arthur Malausséna,26 octobre 1846
7743,Joseph Gillette-Arimondy,16 octobre 1846
7744,"Hippolyte, Aimé, Pierre Morel",9 octobre 1846
7745,Charles de Kergariou,8 octobre 1846
7746,"Marius, Georges, Malachie, Barthélemy Poulet",15 septembre 1846
7747,Marius Giacobbi,14 septembre 1846
7748,Paul Déroulède,2 septembre 1846
7749,"Franck, Joseph, Charles Chauveau",1er septembre 1846
7750,Hippolyte Herbet,27 août 1846
7751,Gabriel Dufaure,17 août 1846
7752,"Ernest, Jean, François-Xavier Braud",11 août 1846
7753,"Alfred, Mathieu Giard",8 août 1846
7754,Louis Lépine,6 août 1846
7755,Louis Henrique-Duluc,31 juillet 1846
7756,Joseph Jourdan,29 juillet 1846
7757,"Louis, Félix, Joseph Mennesson",22 juillet 1846
7758,Jean Judet,20 juillet 1846
7759,"François, Jean-Baptiste, Antoine, Paulin Dupuy",8 juillet 1846
7760,"Marie,Gustave, Louis, Eugène Arnous",30 juin 1846
7761,Georges Fonbelle-Labrousse,29 juin 1846
7762,Edmond Lepelletier,26 juin 1846
7763,Prosper Ancel-Seitz,26 juin 1846
7764,"Charles, Maurice Cabart-Danneville",24 juin 1846
7765,Henri Loup,24 juin 1846
7766,Camille Pelletan,23 juin 1846
7767,Gustave Gobron,15 juin 1846
7768,"Gaston, Ambroise Sabouraud",8 juin 1846
7769,"Antoine, Emmanuel, Ernest Monis",23 mai 1846
7770,Paul Multedo,17 mai 1846
7771,Félix de Lévis-Mirepoix,1er mai 1846
7772,Abel Surchamp,26 avril 1846
7773,"Paul, François, Antoine Ménard-Dorian",26 avril 1846
7774,"Harold, Emmanuel, Jean, Agis Fachard",26 avril 1846
7775,"Paul, Siméon Lerolle",3 avril 1846
7776,Paul Pourteyron,30 mars 1846
7777,"Lucien, Henri Haudos de Possesse",24 mars 1846
7778,Louis Vasse Du Saussay,22 mars 1846
7779,Jules Joffrin,16 mars 1846
7780,"Emile, Narcisse Millochau",15 mars 1846
7781,"Gabriel, Louis Delarue",14 mars 1846
7782,Maxime Lecomte,1er mars 1846
7783,"James, Marie, Antoine Monjaret de Kerjégu",27 février 1846
7784,Louis Alype dit Pierre-Alype,24 février 1846
7785,"Paul, Guillaume Dufour",23 février 1846
7786,"Georges, Louis, Marcellin Richard",22 février 1846
7787,"Marie, Maurice Desson de Saint-Aignan",19 février 1846
7788,"François, Antoine de Boissy d'Anglas",19 février 1846
7789,Albert Guyard,18 février 1846
7790,Tristan Lambert,16 février 1846
7791,"Ernest, Pierre Borgnet",3 février 1846
7792,"Maurice, Nicolas, Dominique Ternaux-Compans",20 janvier 1846
7793,René Grosdidier,14 janvier 1846
7794,"Osman, Philippe Duquesnay",7 janvier 1846
7795,"Victor, Louis Renou",30 décembre 1845
7796,"François, Oscar Rougé",15 décembre 1845
7797,Albert Papelier,5 décembre 1845
7798,Gustave Cunéo d'Ornano,15 novembre 1845
7799,Jules Basile dit Guesde,11 novembre 1845
7800,"Etienne, Pierre, Gabriel Trubert",10 novembre 1845
7801,Ernest Gellé,25 octobre 1845
7802,Adrien de Wignacourt,23 octobre 1845
7803,"Paul, Eugène, Augustin Dariste dit d'Ariste",13 octobre 1845
7804,Francis Carquet,12 octobre 1845
7805,Léon Joubert,26 septembre 1845
7806,Jules Desjardins,23 septembre 1845
7807,Charles Savary,21 septembre 1845
7808,Ernest Vallé,19 septembre 1845
7809,Léon Guichenné,7 septembre 1845
7810,"Ernest, Claude Roure",29 août 1845
7811,"Jean, Félix Loranchet",21 août 1845
7812,Pierre Limouzain-Laplanche,19 août 1845
7813,"Alfred, Henri Dumont",17 août 1845
7814,"Georges, Pierre, Aimé Batiot",17 août 1845
7815,René Gillet,5 août 1845
7816,"Paul, Albert Perroche",3 août 1845
7817,François Masson,28 juillet 1845
7818,"Pierre, Adalbert, Marie-Guilhem de Frottier de Bagneux",26 juillet 1845
7819,"Philippe, Emile Jullien",10 juillet 1845
7820,Victor Leydet,3 juillet 1845
7821,Jean Cot,1er juillet 1845
7822,"Adolphe, Auguste Maynard de la Claye",29 juin 1845
7823,"Augustin, Cyrille Féron",22 juin 1845
7824,"Albert, Raphaël Marchais de la Berge",21 juin 1845
7825,Paul Sandrique,14 juin 1845
7826,Léonce de Curières de Castelnau,10 juin 1845
7827,Pierre Deluns-Montaud,5 juin 1845
7828,"Etienne, Marie, Victor Lamy",2 juin 1845
7829,Sigismond Krzyzanowski dit Lacroix,26 mai 1845
7830,Paul Duchesne-Fournet,20 mai 1845
7831,Maurice Denécheau,13 mai 1845
7832,"Alfred, Henri Chéneau",2 mai 1845
7833,Joseph Fitte,30 avril 1845
7834,Gabriel Réal,29 avril 1845
7835,"Laurent, Constant Theveny",24 avril 1845
7836,Jacques Sever,17 avril 1845
7837,"Jules, Paul Develle",12 avril 1845
7838,"Maurice, Georges, Ernest Riquet de Caraman",10 avril 1845
7839,"François, Marie Thévenet",6 avril 1845
7840,"Henri, Jean, Baptiste Rey",5 avril 1845
7841,Emile Gourvil,29 mars 1845
7842,Honoré Serres,25 mars 1845
7843,Camille Jouffrault,22 mars 1845
7844,"Pierre, Joseph, Louis Brugeilles",19 mars 1845
7845,Ernest Guingand,15 mars 1845
7846,Arthur Pernollet,14 mars 1845
7847,Louis-Edouard Isambard,8 mars 1845
7848,Marcellin Souhet,5 mars 1845
7849,Claude Goujat,22 février 1845
7850,Léon Piot,9 février 1845
7851,"Charles, Paul, François Poulié",4 février 1845
7852,"Louis, Félix Dessoliers",2 février 1845
7853,Alphonse Labussière,1er février 1845
7854,Ernest Lafont,24 janvier 1845
7855,"Georges, Adrien, Jules Creuzé",21 janvier 1845
7856,Gustave Franconie,15 janvier 1845
7857,Léopold Goirand,7 janvier 1845
7858,Albert Gallot,3 janvier 1845
7859,"Victor, Etienne Lagrange",3 janvier 1845
7860,Albini Gieuré,26 décembre 1844
7861,Noël Auricoste,25 décembre 1844
7862,"Victor, Edouard Milliard",19 décembre 1844
7863,Eugène Etienne,15 décembre 1844
7864,"Alcide, Marie Treille",8 décembre 1844
7865,Maximilien Kelsch,3 décembre 1844
7866,"Alain, Charles, Louis de Rohan-Chabot de Léon",1er décembre 1844
7867,"Louis, Jean Reybert",11 novembre 1844
7868,"Albert, Henri Joly",10 novembre 1844
7869,Louis Guillot,7 novembre 1844
7870,"Auguste, Mathias Saint-Romme",3 novembre 1844
7871,"Georges, Casimir Bouttié",3 novembre 1844
7872,César Sirot,27 octobre 1844
7873,Léandre Nicolas,25 octobre 1844
7874,Albert Nivert,21 octobre 1844
7875,"Constant, Jules Paillard-Ducléré",20 octobre 1844
7876,François Bachimont,10 octobre 1844
7877,"Eugène, Arsène Rambourgt",4 octobre 1844
7878,"Albert, Daniel Ancel",4 octobre 1844
7879,Henri Aimelafille,28 septembre 1844
7880,"Hippolyte, Pierre, Raymond Cambe",26 septembre 1844
7881,"Charles, Marius, Michel de Goyon de Feltre",14 septembre 1844
7882,"Eugène, Joseph Haynaut",13 septembre 1844
7883,Francis Laur,5 septembre 1844
7884,"Henri, Eléonor, Jacques, Elisabeth de Turenne",3 septembre 1844
7885,Jean Le Borgne,1er septembre 1844
7886,Albert Deberly,31 août 1844
7887,"Jacques, Eugène, Clément Bury",7 août 1844
7888,Charles Gruet,2 août 1844
7889,Mary Raynaud,25 juillet 1844
7890,Ernest Loyer,21 juillet 1844
7891,Jules Sauzède,19 juillet 1844
7892,"Armand, Jean, Antoine, Henri Bory",8 juillet 1844
7893,Louis Lefoullon,3 juillet 1844
7894,Christophe Pajot,30 juin 1844
7895,Léonard Corentin-Guyho,7 juin 1844
7896,"Charles, François Chevalier",17 mai 1844
7897,"Antoine, Boniface de Castellane",12 mai 1844
7898,Stanislas Ferrand,10 mai 1844
7899,Gustave Delestrac,8 mai 1844
7900,Edouard Drumont,3 mai 1844
7901,"Jean, François Morel",26 avril 1844
7902,Ernest Leroy,25 avril 1844
7903,"Etienne, Charles de Ladoucette",23 avril 1844
7904,Ernest Granger,20 avril 1844
7905,Olivier de Laurens-Castelet,9 avril 1844
7906,Paschal Grousset,7 avril 1844
7907,"Eugène, Florentin Dufour",30 mars 1844
7908,"Victor, Gabriel Pradal",23 mars 1844
7909,"Emmanuel, Victor Chavet",23 mars 1844
7910,Jules Godin,14 mars 1844
7911,Pierre de Montaigu,11 mars 1844
7912,Pierre Papinaud,10 mars 1844
7913,Gustave Roch,10 mars 1844
7914,"Edmond, Lucien Leblanc",9 mars 1844
7915,Martial Berdoly,29 février 1844
7916,Henri du Périer de Larsan,29 février 1844
7917,Louis Hémon,25 février 1844
7918,"Armand, Marie Rendu",24 février 1844
7919,"Alphonse, Jean, Joseph Humbert",21 février 1844
7920,Florent Guillain,7 février 1844
7921,Adolphe Pinard,4 février 1844
7922,"Anatole, Edouard Debiève",28 janvier 1844
7923,"Henri, Jean, Georges, François Chavoix",28 janvier 1844
7924,Francisque Ordinaire,26 janvier 1844
7925,"Etienne, Hubert, Ernest Drumel",25 janvier 1844
7926,"Paul, Louis, Marie Brousse",24 janvier 1844
7927,Jules Cordier,16 janvier 1844
7928,"Alphonse, Jean Defumade",14 janvier 1844
7929,Jules Carret,10 janvier 1844
7930,André dit Adrien Michel,2 janvier 1844
7931,"Nicolas, Cécile,François, Anne, Célestin dit Léo Melliet",22 décembre 1843
7932,Charles Amouroux,21 décembre 1843
7933,"Etienne, Prosper, Ferdinand Pouliot",20 décembre 1843
7934,Alfred Loreau,20 décembre 1843
7935,Justin Quintaa,6 décembre 1843
7936,Evrard Eliez-Evrard,4 décembre 1843
7937,"Robert, Arthur, Espérance des Acres de l'Aigle",23 novembre 1843
7938,"Paul, Antoine, Théodore Bénazet",22 novembre 1843
7939,Gilbert Gaillard,19 novembre 1843
7940,Félix Léglise,19 novembre 1843
7941,Abel Hovelacque,14 novembre 1843
7942,"Henri, Etienne, Jean-Baptiste Fréminet",7 novembre 1843
7943,Frédéric Grousset,20 octobre 1843
7944,Albert Viger,19 octobre 1843
7945,"Stéphen, Albert Thirion-Montauban",22 septembre 1843
7946,Paul de Susini,20 septembre 1843
7947,"Marc, François, Eugène Balandreau",19 septembre 1843
7948,Edouard Muller,19 septembre 1843
7949,"Alexandre, Augustin, dit Gustave Alasseur",18 septembre 1843
7950,Edgard Laroche-Joubert,12 septembre 1843
7951,"Jules, Marie, François Bouvattier",9 septembre 1843
7952,Yves Guyot,6 septembre 1843
7953,Jean Allemane,25 août 1843
7954,Marie Delafosse,18 août 1843
7955,Alexis Muzet,14 août 1843
7956,"Jean, Pierre, Louis, Jean-Baptiste de Colbert-Laplace",6 août 1843
7957,Ernest Cauvin,24 juillet 1843
7958,"François, Jean Pichat",23 juillet 1843
7959,"Antoine, Jean-Louis de Lanessan",13 juillet 1843
7960,"Pierre, Théodore, Henri Rudelle",9 juillet 1843
7961,Louis Jourdan,7 juillet 1843
7962,Albert Pesson,22 juin 1843
7963,"Alfred, Nicolas Regnault",19 juin 1843
7964,"Jacques, René Pénicaud",18 juin 1843
7965,"Jean, Baptiste, Marie, Germain, Léon, Jules Rozières",11 juin 1843
7966,"Antoine, Scaevola Duché",8 juin 1843
7967,"Fernand, Clovis, Ludovic de Perrochel",20 mai 1843
7968,"Léon, Marie, Joseph Baduel d'Oustrac",18 mai 1843
7969,"Albert, Victor, Marie de Benoist",17 mai 1843
7970,Edouard Thiers,15 mai 1843
7971,Jules Viette,6 mai 1843
7972,"Léonce, Adam Levraud",27 avril 1843
7973,"Léon, Prosper Legludic",16 avril 1843
7974,"Charles, Marie,Gabriel Lébraly",15 avril 1843
7975,"Eugène, Bertrand, Louis Mir",14 avril 1843
7976,Edouard-Auguste Fougeirol,9 avril 1843
7977,"Aristide, Armand, Constant Batiot",8 avril 1843
7978,Charles Baïhaut,2 avril 1843
7979,François Delelis-Fanien,30 mars 1843
7980,"Othenin, Gabriel, Paul de Cléron d'Haussonville",21 mars 1843
7981,"Léon, Etienne Borie",21 mars 1843
7982,Thierry Delanoue dit Thiérry-Delanoue,17 mars 1843
7983,"Jean, Théodore Fleury",13 mars 1843
7984,Théophile Michau,8 mars 1843
7985,"Louis, Prosper, Ernest Duvergier de Hauranne",7 mars 1843
7986,Charles-Adolphe de La Noue,6 mars 1843
7987,"Amédée, Pierre, Léonard Bienaimé",26 février 1843
7988,Jules Sirot,17 février 1843
7989,"Georges, Edouard Graux",15 février 1843
7990,Valentin Abeille,14 février 1843
7991,François Pavie,2 février 1843
7992,Paul Lafargue,15 janvier 1843
7993,"Jean, Denis, Marie, Arthur Guibert",8 janvier 1843
7994,"Jean-Baptiste, Louis Pally",7 janvier 1843
7995,Gabriel Compayré,2 janvier 1843
7996,Hector Depasse,14 décembre 1842
7997,"Amant, Joseph Fabre",10 décembre 1842
7998,"Paul, Adolphe, Marie, Prosper Granier de Cassagnac",2 décembre 1842
7999,Alfred Gasconi,22 novembre 1842
8000,Théophile Trédolat-Maymac dit Maymac,18 novembre 1842
8001,"Charles, Louis, Zephirin Thellier de Poncheville",13 octobre 1842
8002,"Jean, Isaac Perrin",11 octobre 1842
8003,"Jean, Albert Dethomas",4 octobre 1842
8004,Paul Fournol,25 septembre 1842
8005,Armand Viellard-Migeon,24 septembre 1842
8006,"Jules, François Horteur",17 septembre 1842
8007,Henri Ferron de La Ferronnays,15 septembre 1842
8008,Isidore Carpentier-Risbourg,12 septembre 1842
8009,"Jules, Ernest Thorel",9 septembre 1842
8010,Alfred Trannin,4 septembre 1842
8011,Lucien Guillemaut,21 août 1842
8012,Samuel-Maurice Marchand,21 août 1842
8013,"Pierre, Louis, Bernard d'Harcourt",20 août 1842
8014,François Ducoudray,19 août 1842
8015,"Lucien, Armand, Henri Rodat",31 juillet 1842
8016,"Jean-Jacques, César, Eugène, Michel Alicot",17 juillet 1842
8017,"Hugues, Arnaud Massip",2 juillet 1842
8018,Eugène François,1er juillet 1842
8019,"Jean-Marie, Albin Clauzel",17 juin 1842
8020,Adolphe Ferrier,14 juin 1842
8021,Albert Benoist,11 juin 1842
8022,"Achille, Joseph Bernot",10 juin 1842
8023,Amaury Simon,27 mai 1842
8024,Frédéric Euzière,20 mai 1842
8025,André Lyonnais,30 avril 1842
8026,Abel-Omer Castiau,23 avril 1842
8027,"Maurice, Pierre Rouvier",17 avril 1842
8028,Gaston Laporte,16 avril 1842
8029,"Henri, Antonin Dubost",6 avril 1842
8030,"Louis, Désiré Legrand",30 mars 1842
8031,"Louis, Ernest Brincard",11 mars 1842
8032,"Jean, Marie, Ferréol Reuillet",17 février 1842
8033,Louis Dubuisson,12 février 1842
8034,Georges Vian,8 février 1842
8035,"Alexandre, Félix, Joseph Ribot",7 février 1842
8036,"Raymond, Antoine de Bar",4 février 1842
8037,"Emile, Valentin Mauger",2 février 1842
8038,"Luc, Philibert, Edmond Roselli-Mollet",30 janvier 1842
8039,François Mayjurou Sclafer de Lagorsse,24 janvier 1842
8040,Arnauld Dubois,23 janvier 1842
8041,Auguste Galtier,23 janvier 1842
8042,"Paul, Louis Peytral",20 janvier 1842
8043,Ernest Dieu,14 janvier 1842
8044,"Pierre, Louis Lejeune",10 janvier 1842
8045,"François, Henri, Jules Pierres de Bernis",8 janvier 1842
8046,Daniel de Folleville de Bimorel,5 janvier 1842
8047,"Charles, Jacques Dindeau",24 décembre 1841
8048,"Ferdinand, Edouard Buisson",20 décembre 1841
8049,Edmond Bartissol,20 décembre 1841
8050,"Pierre, Victor, Ferdinand Farjon",19 décembre 1841
8051,Alfred Macherez,11 décembre 1841
8052,François Grisez,6 décembre 1841
8053,Jules Périllier,29 novembre 1841
8054,"Noêl, Victor, François) Chamerlat",28 novembre 1841
8055,"Charles, Jules, Théodore Roux dit Charles-Roux",14 novembre 1841
8056,Armand Fallières,6 novembre 1841
8057,"Charles, Ange Laisant",1er novembre 1841
8058,"Marie, Félix Brunier",26 octobre 1841
8059,Gustave Isambert,20 octobre 1841
8060,Léon Laurençon,16 octobre 1841
8061,"Pierre, Raymond, Adrien Planté",4 octobre 1841
8062,Maurice Le Sage d'Hauteroche d'Hulst,1er octobre 1841
8063,"Georges, Eugène, Benjamin Clemenceau",28 septembre 1841
8064,"Aurélien, François, Marie, Jules Brugère",17 septembre 1841
8065,Jean-Baptiste Dumay,10 septembre 1841
8066,Jean-Baptiste Langlet,7 septembre 1841
8067,Henri Meyer,1er septembre 1841
8068,Louis Vignancour,22 août 1841
8069,"Antoine, Jean-Baptiste Blatin",1er août 1841
8070,Frédéric Gaussorgues,29 juillet 1841
8071,"Auguste, Baptistin Maurel",16 juillet 1841
8072,Charles Lalou,26 juin 1841
8073,Benoît Malon,23 juin 1841
8074,Jean Clédou,25 mai 1841
8075,"Jules, Antoine Roche",22 mai 1841
8076,Léon Guérin,21 mai 1841
8077,Christophe Tivrier dit Thivrier,16 mai 1841
8078,"Alfred, Louis Cibiel",11 mai 1841
8079,Pierre-Paul Guieysse,11 mai 1841
8080,"Antoine, Elie Gadaud",26 avril 1841
8081,"Emile, Léopold Flourens",26 avril 1841
8082,"Auguste, Alexandre Engerand",23 avril 1841
8083,"Albert, Alexandre Carette",23 avril 1841
8084,"Antoine, Just, Léon, Marie de Mouchy de Noailles de Poix",19 avril 1841
8085,Ernest Breton,19 avril 1841
8086,Alphonse Fiquet,8 avril 1841
8087,Guillaume Limon,7 avril 1841
8088,Justin Chabert,22 mars 1841
8089,"Nicolas, Joseph Peraldi",18 mars 1841
8090,Alfred Letellier,16 mars 1841
8091,Félix-François Deville,14 mars 1841
8092,Jules Delafosse,2 mars 1841
8093,Albert de Mun,28 février 1841
8094,Camille Jouffray,22 février 1841
8095,"Alfred, Ferdinand Borriglione",17 février 1841
8096,Hippolyte Suquet,9 février 1841
8097,Félix Faure,31 janvier 1841
8098,"César, Joseph Duval",20 janvier 1841
8099,Léonce Demalvillain,18 janvier 1841
8100,"Marie, Reimbold d'Estourmel",16 janvier 1841
8101,"Louis, Camille Fouquet",13 janvier 1841
8102,"Louis, Marie, Ernest Cadot",13 janvier 1841
8103,"Pierre, Sébastien, Gérard Frain de La Villegontier",10 janvier 1841
8104,Gaston Galpin,9 janvier 1841
8105,Louis Sonnery-Martin,5 janvier 1841
8106,"Isidore, François Maillé",3 janvier 1841
8107,Jean Odilon-Barrot,3 janvier 1841
8108,"Etienne, Théodore, Mondésir Lacascade",2 janvier 1841
8109,"Edme, Louis, Gustave Tridon",1er janvier 1841
8110,Paul-Emile Bouchet,28 décembre 1840
8111,Jean-Honoré Audiffred,12 décembre 1840
8112,"Henri, Adolphe, Eugène Schneider",10 décembre 1840
8113,"Louis, Pierre, François Calla",5 décembre 1840
8114,"Odilon, Marc Lannelongue",4 décembre 1840
8115,"Jacques, Ludovic Trarieux",30 novembre 1840
8116,Albéric d'Espeuilles,12 novembre 1840
8117,Xavier Bourrillon,8 novembre 1840
8118,Albert Lachièze,4 novembre 1840
8119,"Albert, Pierre, Emmanuel Theulier",1er novembre 1840
8120,Louis Debaune,29 octobre 1840
8121,"Nicolas, Charles, Désiré, Magloire Bourneville",21 octobre 1840
8122,Ferdinand Sarrien,15 octobre 1840
8123,"Joseph, Bruno Vaschalde",12 octobre 1840
8124,"Cyprien, Emmanuel, Marie de Bellissen",7 octobre 1840
8125,"Octave, Léon Dusevel",5 octobre 1840
8126,"Fortuné, Pierre, Paul Mellot",26 septembre 1840
8127,Zéphirin Camélinat,14 septembre 1840
8128,"François, Louis Lecointre",8 septembre 1840
8129,"Denis, François, Alfred Barouille",30 août 1840
8130,Benoît Oriol,27 août 1840
8131,Louis Legras,22 août 1840
8132,Maurice Signard,3 août 1840
8133,"Léonce, Pierre, Gabriel de Terves",1er août 1840
8134,Louis Lebrun,28 juillet 1840
8135,Louis Andrieux,24 juillet 1840
8136,Raymond Gendre,22 juillet 1840
8137,"Félix, Jean, François Martin",18 juillet 1840
8138,Antoine Lascombes,13 juillet 1840
8139,"Etienne, Pierre, Marie Roussin",5 juillet 1840
8140,Ernest Dejardin-Verkinder,10 juin 1840
8141,"Alexandre, Joseph, Marie Pochon",7 juin 1840
8142,"Raymond, Etienne, Lucien Pénières",29 mai 1840
8143,Ernest Desjardins,21 mai 1840
8144,"Marie, Henri, Guillaume de Chabrol de Tournoël",18 mai 1840
8145,"Augustin, Marie Boscher-Delangle",13 mai 1840
8146,Jean-Baptiste Saint-Martin,5 mai 1840
8147,"Charles, François, Xavier Bontemps",22 avril 1840
8148,Gaston Conen de Saint-Luc,15 avril 1840
8149,"Jules, Adolphe Cayrade",5 avril 1840
8150,Gustave Dellisse,31 mars 1840
8151,Daniel Wilson,6 mars 1840
8152,Sélim Cosmao-Dumenez,29 février 1840
8153,David Raynal,26 février 1840
8154,"Jean, Louis, Emile Villeneuve",25 février 1840
8155,Frédéric Ozun,22 février 1840
8156,Alphonse Leporché,21 février 1840
8157,"Léon, Matthieu Sevaistre",10 février 1840
8158,Louis de Montfort,3 février 1840
8159,Edouard Vaillant,29 janvier 1840
8160,Ferdinand Lechevallier,20 janvier 1840
8161,"Amable, Antoine, Emmanuel de Crussol d'Uzès",18 janvier 1840
8162,"Victor, Félix Boissel",14 janvier 1840
8163,"Justin, François Fauré",3 janvier 1840
8164,"Joseph, Marius, Victor Isoard",15 décembre 1839
8165,"François, Antoine, Léon Chiris",13 décembre 1839
8166,"Armand, Albert, Hyacinthe Porteu de la Morandière",9 décembre 1839
8167,Hippolyte Maze,5 novembre 1839
8168,"Charles, Louis de Ravinel",30 octobre 1839
8169,"Désiré, Adolphe Linard",29 octobre 1839
8170,Hippolyte Caurant,22 octobre 1839
8171,"Emile, Louis Récipon",18 octobre 1839
8172,"Amédée, Joseph, Romaire Renault-Morlière",11 octobre 1839
8173,"Léon, Charles Renault",24 septembre 1839
8174,"Pierre, Alphonse Ville",20 septembre 1839
8175,"Edmond, Marie, Justin Caze",16 septembre 1839
8176,"Alexandre, Marie Genet de Chatenay",3 septembre 1839
8177,Edmond Henry,30 août 1839
8178,"Emile, André, Désiré Dubois",21 août 1839
8179,Adrien Liais,18 août 1839
8180,"Georges, Jules, Louis Brame",16 août 1839
8181,"Richard, Joseph, Timoléon De Roys de Lédignan Saint Michel",14 août 1839
8182,"Jean, Polydore Le Marois",1er août 1839
8183,"Edouard, Claude, Marie, Antoine Prénat",23 juillet 1839
8184,"Jean-Louis, Maurice, Félix Thomas-Derevoge",10 juillet 1839
8185,"Amédée, Eugène, Louis de Lur-Saluces",5 juillet 1839
8186,"André, Louis Déprez",23 juin 1839
8187,"René, Joseph Brice",23 juin 1839
8188,Jules Gaillard,21 juin 1839
8189,Constant Germain,16 juin 1839
8190,"Arthur, Henri, Alphonse de Chabaud-Latour",6 juin 1839
8191,Paul de Lamberterie,29 mai 1839
8192,"Urbain, Thomas, Marie Sénac",25 mai 1839
8193,Robert Robert-Mitchell,21 mai 1839
8194,Gilbert Le Guay,12 mai 1839
8195,"Louis, Emile Javal",5 mai 1839
8196,"Eugène, Pierre, Paul Ténot",2 mai 1839
8197,Victor Bousquet,20 avril 1839
8198,"Alfred, Stanislas Toulet",14 avril 1839
8199,Amédée Frugier-Puyboyer,14 avril 1839
8200,Jules Pasquier,1er avril 1839
8201,"Louis, Pierre Ricard",17 mars 1839
8202,Yves-Gabriel Miossec,15 mars 1839
8203,Etienne Brossard,9 mars 1839
8204,"Henri, Jean, Aimé Baboin",4 mars 1839
8205,Olivier de Le Gonidec de Traissan,24 février 1839
8206,Jules Galot,15 février 1839
8207,"Hervé, Marie Pierres de Bernis",3 février 1839
8208,Adolphe (Joseph) de Mondenard,26 janvier 1839
8209,Jean Garrigat,25 janvier 1839
8210,Jean-Baptiste Levrey,20 janvier 1839
8211,"Antoine, Léonce Guyot-Montpayroux",14 janvier 1839
8212,"Edouard, Pierre, Michel de Cazenove de Pradines",31 décembre 1838
8213,Emile Loubet,31 décembre 1838
8214,Jean-Paul Duffo,24 décembre 1838
8215,"Louis, Philippe, Charles de Ségur",22 décembre 1838
8216,Albert Decrais,18 décembre 1838
8217,Albert Moreau Du Breuil de Saint-Germain,3 décembre 1838
8218,"Constant, Louis Ragot dit Ragot-Blondeau",2 décembre 1838
8219,"Gustave, Jean, Marie Pédoya",29 novembre 1838
8220,"Jean-Baptiste, François, Mathurin Veillet-Dufreche",16 novembre 1838
8221,"Louis, Jean, Philippe Briet de Rainvillers",8 novembre 1838
8222,"Anatole, Fernand, Marie de Bonneval",5 novembre 1838
8223,"Jean, Amédée Le Faure",20 octobre 1838
8224,"Charles, Jacques, Marie, Tanneguy Duchatel",19 octobre 1838
8225,Louis Gallix,15 octobre 1838
8226,"Pierre, Hippolyte Gomot",12 octobre 1838
8227,"Emile, Maurice, Lucien, Louis Rey",4 octobre 1838
8228,"Joseph, Arthur, Louis Vachal",25 septembre 1838
8229,"Ernest, Jean, Louis Camescasse",23 septembre 1838
8230,Charles Caussanel,18 septembre 1838
8231,Jules Forni,17 septembre 1838
8232,Louis Froment,14 septembre 1838
8233,Henri Fouquier,1er septembre 1838
8234,Louis Armez,19 août 1838
8235,"Jacques, Gustave Piou",6 août 1838
8236,Antoine Chanson,5 août 1838
8237,Léon Morillot,19 juillet 1838
8238,"Edouard, Etienne Simon dit Lockroy",17 juillet 1838
8239,Eugène Bernard-Dutreil,15 juillet 1838
8240,"Georges, Charles, Frédéric, Hyacinthe Périn",1er juillet 1838
8241,Lucien Mandeville,1er juillet 1838
8242,James-Dyer Mac-Adaras,21 juin 1838
8243,Elisée Deandréis,20 juin 1838
8244,François-Charles de Montsaulnin,5 juin 1838
8245,Ferdinand Daynaud,1er juin 1838
8246,Henri Bonnerot,31 mai 1838
8247,Zéphyrin Silvestre,28 mai 1838
8248,"Richard, Pendrell Waddington",22 mai 1838
8249,Eugène Leffet,21 mai 1838
